# DEC     RA      z
1.21035 51.9238 0.593901
1.42183 78.5745 0.467745
1.15688 53.079 0.610541
1.12972 54.129 0.622232
1.11997 55.3569 0.631414
1.32142 76.7757 0.535274
1.1449 59.9214 0.633484
1.20456 73.3731 0.579631
1.1868 73.4707 0.596435
1.2166 81.2554 0.588619
0.989318 59.3615 0.734507
1.08857 77.1493 0.644175
0.997111 67.9009 0.713839
1.04679 76.0808 0.707255
1.03132 87.7709 0.719744
1.37133 0.300344 0.517143
1.43977 2.15679 0.493903
1.4369 4.10794 0.488273
1.44418 6.53705 0.499377
1.4126 9.29813 0.51483
1.36125 12.1475 0.519048
1.17998 13.3394 0.628028
1.3499 17.5229 0.531013
1.14124 17.1216 0.651249
1.53892 25.805 0.459709
1.54047 30.2303 0.467062
1.47312 32.7282 0.474877
1.28519 30.3357 0.566589
1.36434 33.836 0.534719
1.15814 31.3271 0.635258
1.21493 33.2206 0.621154
1.24898 36.8457 0.581932
1.36234 43.2075 0.529999
1.37672 47.3425 0.512998
1.40412 52.3743 0.500864
